,Name,Acronym,Founded,Screenshot,Address,Tel,Fax,Other locations,Gender,International Students,Selection Type,Admission Rate,Admission Office,Student Enrollment,Academic Staff,Control Type,Entity Type,Academic Calendar,Campus Setting,Religious Affiliation,Library,Housing,Sport Facilities,Financial Aids,Study Abroad,Distance Learning,Academic Counseling,Career Services,Institutional Hospital,country rank,world rank,Facebook,Twitter,Linkedin,Youtube,Instagram,undergratuate_local,under_local,post_local,postgraduate_international,under_inter,post_inter,Colours,Motto
51,University of Savoy Mont Blanc,USMB,1979 Origins date back to 1970,"

 ","27, Rue Marcoz Chambéry  73011 Auvergne-Rhone-Alpes France", +33 (0)4 79 75 91 15, +33 (0)4 79 75 83 65,Annecy-le-Vieux, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," None, open admission policy", Not available,"Scolarité centrale, Université de Savoie, rue Marcoz Chambéry 73011 (0)4 79 75 84 65 ","  10,000-14,999","
 900-999","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,52,1210,https://www.facebook.com/UnivSavoie,https://twitter.com/Univ_Savoie,https://www.linkedin.com/school/universite-de-savoie/,https://www.youtube.com/channel/UCAxqzKFHSwPeaHe3Ams6YMw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
52,"National Institute for Applied Sciences, Lyon",INSA Lyon,1957 ,"

 ","20, Avenue Albert Einstein Villeurbanne  69621 Auvergne-Rhone-Alpes France", +33 (0)4 72 43 83 83, +33 (0)4 72 43 85 00,Bellignat, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  4,000-4,999", Not reported,"
 Public",  Non-Profit,"
 Continuous","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,53,1214,https://www.facebook.com/INSAdeLyon,https://twitter.com/insadelyon,https://www.linkedin.com/school/insa-lyon/,https://www.youtube.com/channel/UC263-HvGo9n2bTLfWW_oygw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,L'imagination technologique The technological imagination
53,National School of Bridges and Roads,ENPC,1747 ,"

 ","6 et 8, Avenue Blaise Pascal Champs sur Marne  77455 Ile-de-France France", +33 (0)1 64 15 30 00, +33 (0)1 64 15 34 09,Paris, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 10-20%,6 Avenue Blaise Pascal Champs-sur-Marne 77420  ,"  1,000-1,999","
 1,000-1,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,54,1218,https://www.facebook.com/EcoledesPonts,https://twitter.com/EcoledesPonts,https://www.linkedin.com/school/ecole-des-ponts-paris-tech/,https://www.youtube.com/channel/UCRJtcLhjEkp94OUstJWu3tg,,Local students,"0-1,000 US$ (0-750 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)",International students,"0-1,000 US$ (0-750 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)",,
54,University of Pau and Pays de l'Adour,UPPA,1970 ,"

 ",Présidence; Boîte Postale 576 Pau  64012 Nouvelle-Aquitaine France, +33 (0)5 59 40 70 00, +33 (0)5 59 70 70 01,Biarritz, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", 20-30%,Avenue de l'Université Pau 64012 (0)5 59 40 70 00 ,"  10,000-14,999","
 1,000-1,499","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,55,1259,https://www.facebook.com/univuppa,https://twitter.com/universite_uppa,https://www.linkedin.com/school/university-of-pau/,https://www.youtube.com/channel/UC-LJgPnNH0c5ARgDvpKOhUQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,L'Université est une chance. Saisissons-la! University is an opportunity. Let's take it!
55,Le Mans University,,1977 ,"

 ",Avenue Olivier Messiaen; Boîte Postale 535 Le Mans  72085 Pays de la Loire France, +33 (0)2 43 83 30 00, +33 (0)2 43 83 30 77,Laval, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  9,000-9,999", Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,56,1266,https://www.facebook.com/LeMansUniversite,https://twitter.com/LeMansUniv,https://www.linkedin.com/school/universit%C3%A9-du-maine-le-mans-laval/,https://www.youtube.com/channel/UCGcQ5RW44I0xEIg4pNS69pg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
56,ESSEC Business School,ESSEC,1907 ,"

 ","1, Avenue Bernard Hirsch Cergy-Pontoise  95021 Ile-de-France France", +33 (0)1 34 43 30 00, +33 (0)1 34 43 30 01,"Singapore, Rabat", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  6,000-6,999","
 600-699","
 Private",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported, Yes,Not reported,57,1277,https://www.facebook.com/essec,https://twitter.com/essec,https://www.linkedin.com/school/essec-business-school/,https://www.youtube.com/channel/UChq-dfxkE70MP8W205NnOiQ,,Local students,"over 20,000 US$ (14,700 Euro)","over 20,000 US$ (14,700 Euro)",International students,"over 20,000 US$ (14,700 Euro)","over 20,000 US$ (14,700 Euro)",,L'esprit pionnier The Pioneering Spirit
57,University of Orléans,UO,1962 ,"

 ",Château de la Source; Boîte Postale 6749 Orléans  45067 Centre-Val de Loire France, +33 (0)2 38 41 71 71, +33 (0)2 38 41 70 69,"Blois, Bourges, Chartres, Châteauroux, Fondettes", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  15,000-19,999", Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,58,1312,https://www.facebook.com/univorleans,https://twitter.com/Univ_Orleans,https://www.linkedin.com/school/universite-orleans/,https://www.youtube.com/channel/UCCYjJOHUutFLfgtOFEy4Ikg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
58,Jean Moulin University Lyon 3,UJM,1809 ,"

 ","1, Rue de l'Université; Boîte Postale 0638 Lyon  69239 Auvergne-Rhone-Alpes France", +33 (0)4 78 78 78 78, +33 (0)4 78 78 79 79,Bourg-en-Bresse, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  25,000-29,999", Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,59,1313,https://www.facebook.com/UnivJeanMoulinLyon3,https://twitter.com/UJML,https://www.linkedin.com/school/universit-jean-moulin---lyon-3/,https://www.youtube.com/channel/UCIwyAXIOfX0u5tRwxsQeyzQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,"Ad summum in omnibus pro omnibus In general, in all those things for all"
59,"Paul Valéry University, Montpellier 3",UPV,1970 Origins date back to 1289,"

 ",Route de Mende Montpellier  34199 Occitanie France, +33 (0)4 67 14 20 00, +33 (0)4 67 14 20 52,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  15,000-19,999", Not reported,"
 Public",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,60,1319,https://www.facebook.com/univpaulvalery,https://twitter.com/univpaulvalery,https://www.linkedin.com/school/universit-paul-val-ry---montpellier-iii/,https://www.youtube.com/channel/UCIxK7aJJYTmhHYjDtiEIOxA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
60,National Graduate School for Advanced Technologies,,1970 Origins date back to 1741,"

 ","828, Boulevard des Maréchaux Palaiseau  91762 Ile-de-France France", +33 (0)1 81 87 17 40, +33 (0)1 81 87 17 55,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,"32, Boulevard Victor Paris 75015  ",  500-999,"
 100-199","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,61,1331,https://www.facebook.com/ENSTA.Paris,https://twitter.com/ENSTAParis,https://www.linkedin.com/school/ensta-paris/,https://www.youtube.com/channel/UCXjwXhdp1ferD5Li425rjzw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
61,CY Cergy Paris University,CY,1991 ,"

 ",33 Boulevard du Port Cergy-Pontoise  95011 Ile-de-France France, +33 (0)1 34 25 60 00, +33 (0)1 34 25 61 01,"Évry, Gennevilliers, Paris, Saint-Germain-en-Laye", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 20-30%,33 Boulevard du Port Cergy-Pontoise 95011  ,"  15,000-19,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes, Yes, Yes,Not reported,62,1335,https://www.facebook.com/CYCergyParisUniversite,https://twitter.com/UniversiteCergy,https://www.linkedin.com/school/cycergyparisuniversit%C3%A9/,https://www.youtube.com/channel/UC04XEw4WzoXAbFm3FqURHgA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Purple,Inventons le monde de demain Let's create the world of tomorrow
62,University of Reims Champagne-Ardenne,URCA,1548 ,"

 ",9 Boulevard de la Paix Reims  51097 Grand Est France, +33 (0)3 26 91 30 00, +33 (0)3 26 91 30 98,"Charleville-Mezières, Chaumont, Troyes", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," None, open admission policy", Not available,9 Boulevard de la Paix reims 51097 (0)3 26 91 83 69 ,"  20,000-24,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Continuous","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes",  Yes,Not reported,Not reported, Yes,63,1341,https://www.facebook.com/UnivReimsChampagneArdenne,https://twitter.com/universitereims,https://www.linkedin.com/school/universite-de-reims-champagne-ardenne/,https://www.youtube.com/channel/UCFFftBN3GZfmO934iRh2JzQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)","Red, green and blue",
63,Jean Monnet University,UJM,1970 ,"

 ","10, Rue Tréfilerie - CS 82301 Saint-Étienne  42023 Auvergne-Rhone-Alpes France", +33 (0)4 77 42 17 00, +33 (0)4 77 42 17 99,Roanne and Firminy, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  15,000-19,999", Not reported,"
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,64,1342,https://www.facebook.com/Universite.Jean.Monnet.Saint.Etienne,https://twitter.com/Univ_St_Etienne,https://www.linkedin.com/school/universit%C3%A9-jean-monnet-saint-etienne/,https://www.youtube.com/channel/UCkFZCeJQptgqDprncGJ2q8A,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
64,ESCP Business School,,1819 ,"

 ",79 Avenue de la République Paris  75011 Ile-de-France France, +33 (0)1 49 23 20 00, +33 (0)1 49 23 22 25,"London, Berlin, Madrid, Turin, Warsaw", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 10-20%,79 Avenue de la République Paris 75010 (0)1 49 23 20 00 ,"  5,000-5,999","
 100-199","
 Private",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,65,1359,https://www.facebook.com/ESCPbs,https://twitter.com/escp_bs,https://www.linkedin.com/school/escp-business-school/,https://www.youtube.com/channel/UCMT9_PUrM69hmJ37C9-NDGA,,Local students,"17,500-20,000 US$ (12,900-14,700 Euro)","over 20,000 US$ (14,700 Euro)",International students,"17,500-20,000 US$ (12,900-14,700 Euro)","over 20,000 US$ (14,700 Euro)",,"European Identity, Global Perspective "
65,Normal Superior School of Paris-Saclay,ENS Paris-Saclay,1912 ,"

 ","61, Avenue du Président-Wilson Cachan  94235 Ile-de-France France", +33 (0)1 47 40 20 00, +33 (0)1 47 40 20 74,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   , Not reported, Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,66,1435,https://www.facebook.com/ensparissaclay,https://twitter.com/ENS_ParisSaclay,https://www.linkedin.com/school/ens-paris-saclay/,NaN,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
66,National Advanced School of Engineering,,1780 ,"

 ","147, Boulevard de l'Hôpital Paris  75013 Ile-de-France France", +33 (0)1 44 24 62 76, +33 (0)1 44 24 63 26,"Aix-en-Provence, Angers, Bastia, Châlons-en-Champagne, Cluny, Le Bourget-du-Lac, Lille, Metz, Talence", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,147 Boulevard de l'Hopital Paris 75013 (0)1 44 24 63 62 ,"  5,000-5,999","
 1,000-1,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,67,1451,https://www.facebook.com/AMParisTech,https://twitter.com/artsetmetiers_,https://www.linkedin.com/school/arts-et-metiers-ensam/,https://www.youtube.com/channel/UCgfHBfT6c_wQBL2O0HShXrg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Purple and orange,
67,Bordeaux Montaigne University,UBM,1971 Origins date back to 1441,"

 ",Domaine universitaire Pessac  33607 Nouvelle-Aquitaine France, +33 (0)5 57 12 44 44, +33 (0)5 57 12 44 90,Bordeaux, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", Not reported,"Relations internationales, Université Bordeaux Montaigne Pessac 33607 (0)5 57 12 47 47 ","  15,000-19,999","
 1,000-1,499","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,68,1497,https://www.facebook.com/UBordeauxMontaigne,https://twitter.com/UBMontaigne,https://www.linkedin.com/school/universit%C3%A9-michel-de-montaigne-bordeaux-3-/,https://www.youtube.com/channel/UCSjxXH-qjwjzOvReHwL-rkA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
68,Paris 2 Panthéon-Assas University,UP2,1970 ,"

 ",12 Place du Panthéon Paris  75231 Ile-de-France France, +33 (0)1 44 41 57 00, +33 (0)1 44 41 55 13,Melun, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  15,000-19,999","
 2,000-2,499","
 Public",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,69,1508,https://www.facebook.com/AssasUniversite,https://twitter.com/AssasUniversite,https://www.linkedin.com/school/assasuniversite/,https://www.youtube.com/channel/UCc-91lrX_M1DBkcS_fJ5nZg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
69,EDHEC Business School,EDHEC,1906 ,"

 ","24 Avenue Gustave Delory, CS 50411 Roubaix  59057 Hauts-de-France France", +33 (0)3 20 15 45 00, +33 (0)3 20 15 45 01,"Nice, Lille, Paris, London, Singapore", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not available,"393 Promenade des Anglais, BP 3116 Nice 06202 (0)4 93 18 78 05 ","  7,000-7,999","
 100-199","
 Private",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,70,1515,https://www.facebook.com/edhec,https://twitter.com/EDHEC_BSchool,https://www.linkedin.com/school/edhec-business-school/,https://www.youtube.com/channel/UCeao_TUSD7Wm6DKL5qDdp8g,,Local students,"12,500-15,000 US$ (9,200-11,000 Euro)","over 20,000 US$ (14,700 Euro)",International students,"12,500-15,000 US$ (9,200-11,000 Euro)","over 20,000 US$ (14,700 Euro)",,
70,University of Perpignan Via Domitia,UPVD,1970 ,"

 ","Via Domitia 52, Avenue Paul Alduy Perpignan  66860 Occitanie France", +33 (0)4 68 66 20 00, +33 (0)4 68 66 20 19,"Mende, Narbonne", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", 70-80%,"52, Avenue Paul Alduy Perpignan 66 880 (0)4 68 66 20 00 ","  8,000-8,999","
 700-799","
 Public",  Non-Profit,"
 Semesters","
 Rural",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes",  Yes,Not reported,Not reported,Not reported,71,1517,https://www.facebook.com/UPVD66,https://twitter.com/upvd1,https://www.linkedin.com/school/upvd-alumni/,https://www.youtube.com/channel/UCFj3xPan2ZooH3L-Sq6Ym3A,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,Via Domitia 
71,University of Upper Alsace,UHA,1975 ,"

 ","2, Rue des Frères Lumière Mulhouse  68093 Grand Est France", +33 (0)3 89 33 60 00, +33 (0)3 89 33 63 19,Colmar, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  8,000-8,999","
 2,000-2,499","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,72,1521,https://www.facebook.com/UHA68,https://twitter.com/UHA68,https://www.linkedin.com/school/universit%E9-de-haute-alsace-mulhouse-colmar/,https://www.youtube.com/channel/UCEZ30iDh3dQ1X-RrH9UsjBg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
72,Toulouse 1 University Capitole,UT1,1968 Origins date back to 1229,"

 ",2 Rue du Doyen Gabriel Marty Toulouse  31042 Occitanie France, +33 (0)5 61 63 35 00, +33 (0)5 61 63 37 98,Rodez, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  20,000-24,999", Not reported,"
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,73,1525,https://www.facebook.com/ut1capitole,https://twitter.com/UT1Capitole,https://www.linkedin.com/school/universite-toulouse-capitole/,https://www.youtube.com/channel/UC8-ZlfJwqRXtOml60uXkBJA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,Universitas Magistrorum et Scolarium 
73,National School of Library and Information Science,ENSSIB,1963 ,"

 ","17-21, Boulevard du 11 Novembre 1918 Villeurbanne  69623 Auvergne-Rhone-Alpes France", +33 (0)4 72 44 43 43, +33 (0)4 72 44 43 44,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   , Not reported, Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,74,1560,https://www.facebook.com/enssib,https://twitter.com/enssib,https://www.linkedin.com/school/enssib/,https://www.youtube.com/channel/UCXhMceutX8o5btCySUlAxgg,,Local students,"0-1,000 US$ (0-750 Euro)",Not reported,International students,"0-1,000 US$ (0-750 Euro)",Not reported,,
74,EMLYON Business School,EMLYON,1872 ,"

 ","23 Avenue Guy de Collongue, CS 40203 Écully  69134 Auvergne-Rhone-Alpes France", +33 (0)4 78 33 78 00, +33 (0)4 78 33 61 69,"Saint-Etienne, Paris, Casablanca, Shanghai", Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  5,000-5,999","
 100-199","
 Private",  For-Profit,"
 Continuous","
 Urban",None,"
 Yes   ", Not reported ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,75,1681,https://www.facebook.com/emlyonbusinessschool,https://twitter.com/EMLYON,https://www.linkedin.com/school/emlyon-business-school/,https://www.youtube.com/channel/UC_4s0XyoeHLxRcCit8s1ZPQ,,Local students,"12,500-15,000 US$ (9,200-11,000 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)",International students,"12,500-15,000 US$ (9,200-11,000 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)",Red,Early makers 
75,University of Toulon,UTLN,1979 Origins date back to 1968,"

 ",Avenue de l'Université; Boîte Postale 20132 La Garde  83957 Provence-Alpes-Cote d Azur France, +33 (0)4 94 14 20 00, +33 (0)4 94 14 21 57,"Toulon, Draguignan, Saint-Raphaël", Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,"Avenue de l'Université, BP 20132 La Garde 83957 (0)4 94 14 20 00 ","  9,000-9,999", Not reported,"
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,76,1741,https://www.facebook.com/univtoulon,https://twitter.com/univtoulon,https://www.linkedin.com/school/univtoulon/,https://www.youtube.com/channel/UCFF3iOXsDPSXZiK9wFFmWmg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
76,"National Graduate School of Engineering, St-Etienne",ENSM-SE,1816 ,"

 ","158, Cours Fauriel Saint-Étienne  42023 Auvergne-Rhone-Alpes France", +33 (0)4 77 42 01 23, +33 (0)4 77 42 01 23,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 20-30%,158 Cours Fauriel St-Etienne 42023 (0)4 77 49 97 28 ,"  1,000-1,999","
 200-299","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,77,1742,https://www.facebook.com/MinesSaintEtienne,https://twitter.com/MINES_StEtienne,https://www.linkedin.com/school/mines-st-etienne/,https://www.youtube.com/channel/UCVSdpdmJccvUngjJ2on1n3A,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
77,"Paris Institute of Technology for Life, Food and Environmental Sciences",,2007 ,"

 ","16, Rue Claude-Bernard Paris  75231 Ile-de-France France", +33 (0)1 44 08 16 18, +33 (0)1 44 08 72 34,"Massy, Grignon, Nancy, Montpellier, Clermont-Ferrand, Kourou", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 0-10%,"16, Rue Claude-Bernard Paris 75005 (0)1 44 08 16 18 ","  2,000-2,999","
 200-299","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,78,1819,https://www.facebook.com/AgroParisTech,https://twitter.com/agroparistech,https://www.linkedin.com/school/agroparistech/,https://www.youtube.com/channel/UCOepNHTLcyAPmeftUmU_MIA,,Local students,"0-1,000 US$ (0-750 Euro)","1,000-2,500 US$ (750-1,800 Euro)",International students,"0-1,000 US$ (0-750 Euro)","1,000-2,500 US$ (750-1,800 Euro)",,"Former, Chercher, Innover.Pour lavenir de lagriculture, de lalimentation et de la forêt Education, Research, Innovation. To support transitions in Agriculture, Food, forest, Environment and Health"
78,La Rochelle University,ULR,1993 ,"

 ",23 Avenue Albert Einstein; BP 33060 La Rochelle  17031 Nouvelle-Aquitaine France, +33 (0)5 46 45 91 14, +33 (0)5 46 44 93 76,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not reported,23 Avenue Albert Einstein La Rochelle 17071 (0)5 46 45 83 46 ,"  8,000-8,999","
 800-899","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes",  Yes,Not reported,Not reported,Not reported,79,1871,https://www.facebook.com/LaRochelleUniversite,https://twitter.com/UnivLaRochelle,https://www.linkedin.com/school/la-rochelle-universite/,https://www.youtube.com/channel/UC-Cf7Z00cbodH9qC8i7SHXA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
